fonte,coletado_em,posto_id,nome,uf_fonte,cidade_fonte,bairro,endereco,cep,telefones,email,site,contato,horario,segmento
casio,2026-09-06,casio-e4b285bc5b,HI FI ELETRONICA,AL,MACEIO,,"RUA DR. GUEDES GONDIM, 278 - CENTRO - MACEIÓ - ALAGOAS",57020-260,8233265102|8230340081,hifieletronic@uol.com.br,,,Segunda e Sexta das 8:00h as 12h e das 14:00h as 18h00h / Sábados das 8h as 12h,
casio,2026-09-06,casio-34de0d4805,ATSE COMÉRCIO E SERVIÇOS DE ELETRÔNICOS E INFORMÁTICA,AM,Manaus,,"Av. Constantino Nery, 289- Centro - Manaus - AM",,9232326188|92993384934,atse_assistencia@hotmail.com,,,Segunda à Sexta das 8h as 17h/ Sábado das 8h as 12h.,
casio,2026-09-06,casio-3694773b17,SINAL ELETRÔNICA,BA,Itabuna,,"Av. Princesa Isabel, 935 - São Caetano - Itabuna - Bahia",45607-123,7336135835,sinal_sinal@hotmail.com,,,Segunda e Sexta das 9h as 12h e das 13h as 17h30h,
casio,2026-09-06,casio-1cfff41999,ELETRÔNICA DOREA,BA,Salvador,,"Rua Rodolfo Pimentel, N°2A - Brotas - Salvador - Bahia",40283-220,7132446390,eletronicadorea@gmail.com,,,Segunda à Sexta das 9h as 18h,
casio,2026-09-06,casio-f35ba7e052,PLAYMUSIC ASSISTENCIA TECNICA,BA,Salvador,,"Avenida Vale do Tororó, 98 - Sala 101 - Tororó - Salvador - Bahia",40050-290,7132415999|71999997514,playmusic-ba@hotmail.com,,,Segunda à Sexta das 9h as 18h/ Sábado das 9h as 12h.,
casio,2026-09-06,casio-209a4922fe,ELETRÔNICA ITASOM,CE,Fortaleza,,"Av. Padre Ibiapina, 1365 - Jacarecanga - Fortaleza - CE",,8532231856|85999664647,itasomtecnica@hotmail.com,,,Segunda e Sexta das 8h as 12h e das 13h as 17h - Sábado das 8h as 12h,
casio,2026-09-06,casio-d74932a96c,BRASTÉCNICA ELETRÔNICA LTDA,DF,Brasilia,,QE 40 CONJUNTO Q LOTE 23-GUARÁ II - Brasilia - DF,71070-172,6135683375|6133827036,brastecnica@terra.com.br,,,Segunda e Sexta das 8h as 18h e sadados 8h as 12h,
casio,2026-09-06,casio-60155c1a5a,DALTON JOSE DA SILVA ELETRONICA - ME DINAMUS ELETRONICA,DF,Brasilia,,"Quadra 45, Lote 3, Loja 2,Setor leste (gama)",,61981772776,daltonibnc@gmail.com,,,Seg a Sex 09:00 ás 18:00 Sab 09:00 ás 12:00,
casio,2026-09-06,casio-f6b01bc193,SHARCOLOR ELETRONICA LTDA-ME,ES,Espirito Santo,,"Avenida Marechal Mascarenhas de moraes, 2577 - Bairro Bento Ferreira - Vitória - ES",29050-667,2732274575|2733243931,sharcolor@uol.com.br,,,Segunda à sexta-feira das 8h as 18h,
casio,2026-09-06,casio-8bc4097aa8,Home Service Goiania,GO,Goiania,,Rua 261 N 432 - Set Coimbra - Goiania -Goias,,6299464605,homeserviceaudioevideo@hotmail.com,,,Segunda a Sexta das 08:00h as 17:00 Sabado 08:00 as 12:00,
casio,2026-09-06,casio-fd46ebc333,SILVATECK - M SANTOS SILVA COM. E SERV.,MA,São Luis,,"Rua do Alecrim, 352 - Centro São Luis - Maranhão",65010-040,9832210654|9832325685,silvateck@oi.com.br,,,Segunda e Sexta das 8:30h as 12h e das 14h as 18h,
casio,2026-09-06,casio-93bdf3c8a9,JV ELETRONICA MUSICAL LTDA,MG,Belo Horizonte,,"RUA PADRE EUSTAQUIO,1620 - CARLOS PRATES - BELO HORIZONTE - MG",,3132010528,eletronicajv.bh@hotmail.com,,,Segunda e Sexta das 9h as 18h - Sábado das 9h as 12h,
casio,2026-09-06,casio-3623f8225b,TECHNOCENTER BH,MG,Belo Horizonte,,"Rua Melo Teixeira, 123, Bairro: Álvaro Camárgos",,3135646476,atendimento@technocenterbh.com.br,,,Segunda e Sexta das 9h as 12h e das 13h as 17:30h - Sábado das 9h as 12h,
casio,2026-09-06,casio-5640dbe072,EQUIP.CENTER,MG,Uberaba,,"Rua Teófilo Otoni, 185 – São Benedito – Uberaba,MG",,3433160846,equipcenter@equipcenter.tv,,,Segunda a Sexta das 8:00h as 18:00h e sabados das 8:00h as 12:00h.,
casio,2026-09-06,casio-ac3bf82763,MC VIDEO SOM LTDA,MG,UBERLÂNDIA,,"AVENIDA RIO BRANCO,1088 - UBERLANDIA - MG",,3432365825,mc@mcvideosom.com.br,,,Segunda a Sexta das 8:00h as 18:00h / Sabado 8:00 as 12:00,
casio,2026-09-06,casio-eda68ee692,WMtech,PA,Castasnhal,,"Alameda B N H, 11 - Centro, Castanhal - PA",68740-420,91991032717,wmtechpa@gmail.com,,,Segunda a Sexta das 9:00h as 17:00,
casio,2026-09-06,casio-cab202c3ad,CORUJÃO ELETRÔNICA,PB,João Pessoa,,"Av. expedicionários, 100 - Sala 105 - Expedicionário - João Pessoa - Paraíba",,8332255133|83988265556|83996778405,corujaoeletronica@gmail.com,,,Segunda a Sexta-feira das 9h as 12:30h e das 13:30h as 17h,
casio,2026-09-06,casio-f3ca8c9c45,CP TECH AUDIO,PE,Recife,,RUA JOÃO FERNANDES VIEIRA 574 | SALA 403 | RECIFE/PE,,8134222038,atendcptec@gmail.com,,,Segunda a Sexta das 9:00h as 18:00h,
casio,2026-09-06,casio-f7e295a484,AUDIOLASER,PR,Curitiba,,"Rua Blaise Pascal, 124 Bairro: Abranches Curitiba",82220-230,4130273200,email@laserassistencia.com.br,,,Segunda e Sexta das 9h as 12h e das 13h as 17h30h,
casio,2026-09-06,casio-ae7011cc06,M P DE SOUZA & CIA. EPP,PR,Curitiba,,"RUA MONSENHOR CELSO,128 - 1º ANDAR CONJ 02- CENTRO - CURITIBA - PARANA",80010-150,4132231067|41999907574,laboratorio.casio@hotmail.com,,,Segunda e Sexta das 9:00h as 18:30h / Sábados das 9h as 12h,
casio,2026-09-06,casio-9dd97e8d04,DOS ANJOS E CAMPANA LTDA,PR,Londrina,,"Av Maringa, 2053 B, Jardim Quebec, Londrina, PR , Brasil",86060-000,4333281805|4330287035,hightec@sercomtel.com.br,,,Segunda e Sexta das 8h as 12h e das 14h as 17h30h/ Sábado das 8h as 12h,
casio,2026-09-06,casio-d802d2e2ac,Musitec,RJ,Rio de Janeiro,,"TRAVESSA SÁ RÊGO,453Bairro:Andrade de Araujo",,2126672659|21985592625,musitec.assistencia@yahoo.com,,,Segunda a Sexta das 09:00h as 17:00,
casio,2026-09-06,casio-c342895036,Video Life Ltda,RJ,Rio de Janeiro,,"Estrada da Gávea, nº 847, Loja 119, Bairro de São Conrado, Município do Rio de Janeiro, Estado do Rio de Janeiro",22610-001,2133222695|2133222793|21984574111,videolife2000@hotmail.com,,,Segunda à Sexta das 9h as 18hs e Sábado 9h as 13h,
casio,2026-09-06,casio-951710b4dd,Htec eletronica,RN,Natal,,"AV. .Prudente de Moraes, 6478 - Candelaria - Natal - RN",,8420208080,flaviohtec@gmail.com,,,Segunda a sexta das 8:00h as 12:00 e 14:00 as 18:00 Sabado das 8:00 as 12:00,
casio,2026-09-06,casio-5cf8b12c8d,SCHAEFER TECNOLOGIA E SERVIÇOS LTDA,RS,Novo Hamburgo,,"R. Passeio Calçadão Osvaldo Cruz, 54 Sala 215 - 2º Andar - Centro -Galeria Hamburguesa - Novo Hamburgo RS",,5130663562|51998479023,edynew3@gmail.com,,,Segunda à Sexta das 9:30 as 12h e das 13:15h as 18h / Sábado das 9:30 as 12:30.,
casio,2026-09-06,casio-1adaec5826,Digisom GW,RS,Porto Alegre,,"Rua São Nicolau, 1093, Bairro Santa Maria Goretti",91030-230,5133438142|51991419023,digisompoa@gmail.com,,,Segunda a Sexta das 9:00h as 18:00,
casio,2026-09-06,casio-ca056e9bc1,ELETRÔNICA OFICINA DO SOM,SC,Florianopolis,,"Rod. João Gualberto Soares, 1570 Loja 03 - Ingleses do Rio Vermelho",,4832094070,assistencia@oficinadosomsc.com.br,,,Terça a Sexta das 9:00h as 11:30h e das 14:00h as 18:00h,
casio,2026-09-06,casio-2d825a6614,ELETRÔNICA ALFA,SC,Itajaí,,"Rua Gaspar, 237 - Bairro São Judas - Itajaí - SC",88303-320,4733491716,eletronicaalfa1@hotmail.com,,,Segunda à Sexta das 8h30 as 18h,
casio,2026-09-06,casio-7dd0924450,JL AUDIO,SC,JOINVILLE,,"Dr. Plácido Olímpio de Oliveira, 750 – Sala 01 - Joinville / SC",89202-450,4734231287|47991968061,contato@jlaudioeletronica.com.br,,,Segunda e Sexta das 8:15h as 12h e das 13:30h as 18h30h,
casio,2026-09-06,casio-561d3ba3e5,EV2 ELETRONICA DIGISOM SC,SC,São José,,"RUA ANNA ORLANDINA MACIEL, 251 CENTRO SÃO JOSÉ - SC",88103-120,4832254347|48988452775,atendimento.digisom.sc@gmail.com,,,Segunda a Sexta-feira das 8:30h as 12h e das 13:30h as 18h,
casio,2026-09-06,casio-aa6480c414,ELETRONICA NACIONAL,SE,Aracaju,,"RUA DEPUTADO CARLOS CORREIA, 569 - SIQUEIRA CAMPOS - ARACAJU - SE",,7932145564,assistencia@eletronicanacional.com.br,,,Segunda a Sexta das 8:00h as 17:45h / Sabado 8:00 as 12:45,
casio,2026-09-06,casio-d350bfc65a,Home Prime Eletrônica,SP,Alphaville,,CALC DAS MARGARIDAS 306,,1141917420,contato@homeprimeeletronica.com.br,,,9:00 as 18:00 segunda a sexta / sabado 09:00 as 13:00,
casio,2026-09-06,casio-776e5565b2,EXPRESSOM - SOM E ACESSÓRIOS,SP,Araraquara,,"RUA MAJOR CARVALHO FILHO, 866 - CENTRO - ARARAQUARA, SP",14801-280,1633361411,expressom@bol.com.br,,,Segunda e Sexta das 9h as 18h,
casio,2026-09-06,casio-8d0c7ece8d,DIGITAL AUDIO MUSIC,SP,Campinas,,"Rua Orlando Carpino, 65 - Jardim Chapadão - Campinas - São Paulo",,1935794520,contato@digitalaudiomusic.com.br,,,Segunda a Sexta-feira das 9h as 12h e das 13:30h as 17:30h,
casio,2026-09-06,casio-88b79d42f6,FELTRONIC COMERCIO E SERVIÇOS LTDA-ME,SP,Jaú,,"RUA DR. ÍTALO PECCIOLI, Nº 203 - JD. FERREIRAS DIAS - JAÚ SP.",,1436227347|1436229892,feltronic@feltronic.com.br,,,Segunda à Sexta das 8h as 12h e das 13h as 18h / Sábado das 8h as 12h,
casio,2026-09-06,casio-5b4d367ff9,ELETRONICA SAI,SP,JUNDIAI,,RUA BOM JESUS DE PIRAPORA 1640 -JUNDIA-SÃO PAULO,13207-605,1145875176,eletronica@eletronicasai.com.br,,,Segunda e Sexta das 8:30h as 11:30h e 13h as 18h,
casio,2026-09-06,casio-ea32a1b3db,MUSICTEC ASSISTENCIA TECNICA,SP,Mogi das Cruzes,,"Rua Barão de Jaceguai, 509 - sala 82 - 8º andar -Centro - Mogi das Cruzes - São Paulo",08710-160,1147913867,musictecmogi@uol.com.br,,,Segunda a Sexta das 9:00h as 12:30 / 13:30 as 18:00 Sabado das 9:00 as 13:00,
casio,2026-09-06,casio-4b98081786,ESTAÇÃO ACÚSTICA LUTHIER,SP,Praia Grande,,"Rua Plinio Salgado, 49 - Sitio do Campo (Tude Bastos) - Praia Grande - SP",11724-060,1333029000,estacaoacustica@ig.com.br,,,Segunda à Sexta das 9h as 18h,
casio,2026-09-06,casio-ebce730163,FPS - FIX PRO SERVICE,SP,São Paulo,,"Rua Columbus, 171 Vila Leopoldina - São Paulo - SP",05304-010,1149992380,fixproservice@fixproservice.com.br,,,08:30 às 18:00 h,
casio,2026-09-06,casio-8f3c9f40b2,Pro Audio Assistência Técnica,SP,São Paulo,,"Rua 21 de Abril, 416, Rudge Ramos São Bernardo",,1141773550,proaudioabc@gmail.com,,,Segunda a Sexta das 9:00h as 13:00 / 15:00 as 18:00,
casio,2026-09-06,casio-1f8bafb97c,Tbase,SP,São Paulo,,"Avenida Miguel Estefno, 779, Vila da Saúde São Paulo, SP",04301-011,1123851220|11958429494,tbase2003@gmail.com,,,Segunda a Sexta das 10:00h as 16:00h,
casio,2026-09-06,casio-cf83d0ba28,Tectronica Assistência Técnica,SP,São Paulo,,"Rua Carlos Camargo Aranha, nº 12 Bairro Jardim São Paulo - SP",02039-090,1129711641|11956061360,atendimento@tectronica.com.br,,,Segunda a Sexta das 9:00h as 17:00 /Sabado 9:00 as 13:00,
